real data: 4185 slices from 368 cases
device=cuda train=4185 size=128 kind=cached
[seg] epoch 1/40 loss 0.2356
[seg] epoch 2/40 loss 0.1434
[seg] epoch 3/40 loss 0.1225
[seg] epoch 4/40 loss 0.1050
[seg] epoch 5/40 loss 0.0867
[seg] epoch 6/40 loss 0.0733
[seg] epoch 7/40 loss 0.0639
[seg] epoch 8/40 loss 0.0543
[seg] epoch 9/40 loss 0.0504
[seg] epoch 10/40 loss 0.0576
[seg] epoch 11/40 loss 0.0433
[seg] epoch 12/40 loss 0.0423
[seg] epoch 13/40 loss 0.0382
[seg] epoch 14/40 loss 0.0356
[seg] epoch 15/40 loss 0.0353
[seg] epoch 16/40 loss 0.0408
[seg] epoch 17/40 loss 0.0315
[seg] epoch 18/40 loss 0.0325
[seg] epoch 19/40 loss 0.0296
[seg] epoch 20/40 loss 0.0282
[seg] epoch 21/40 loss 0.0308
[seg] epoch 22/40 loss 0.0263
[seg] epoch 23/40 loss 0.0256
[seg] epoch 24/40 loss 0.0255
[seg] epoch 25/40 loss 0.0260
[seg] epoch 26/40 loss 0.0241
[seg] epoch 27/40 loss 0.0231
[seg] epoch 28/40 loss 0.0228
[seg] epoch 29/40 loss 0.0224
[seg] epoch 30/40 loss 0.0216
[seg] epoch 31/40 loss 0.0211
[seg] epoch 32/40 loss 0.0229
[seg] epoch 33/40 loss 0.0201
[seg] epoch 34/40 loss 0.0201
[seg] epoch 35/40 loss 0.0195
[seg] epoch 36/40 loss 0.0193
[seg] epoch 37/40 loss 0.0191
[seg] epoch 38/40 loss 0.0190
[seg] epoch 39/40 loss 0.0185
[seg] epoch 40/40 loss 0.0201
[sr-distortion] epoch 1/60 loss 0.0554
[sr-distortion] epoch 2/60 loss 0.0426
[sr-distortion] epoch 3/60 loss 0.0408
[sr-distortion] epoch 4/60 loss 0.0397
[sr-distortion] epoch 5/60 loss 0.0390
[sr-distortion] epoch 6/60 loss 0.0386
[sr-distortion] epoch 7/60 loss 0.0381
