484 cases, modality t1c (channel 2)
  25/484 cases -> 180 slices
  50/484 cases -> 336 slices
  75/484 cases -> 489 slices
  100/484 cases -> 660 slices
  125/484 cases -> 845 slices
  150/484 cases -> 1018 slices
  175/484 cases -> 1158 slices
  200/484 cases -> 1269 slices
  225/484 cases -> 1439 slices
  250/484 cases -> 1667 slices
  275/484 cases -> 1815 slices
  300/484 cases -> 2007 slices
  325/484 cases -> 2190 slices
  350/484 cases -> 2360 slices
  375/484 cases -> 2541 slices
  400/484 cases -> 2722 slices
  425/484 cases -> 2925 slices
  450/484 cases -> 3149 slices
  475/484 cases -> 3363 slices
wrote /tmp/msd/slices_et.npz: (3433, 128, 128) slices from 354 cases, 3.54% tumor pixels
real data: 2769 slices from 283 cases
device=cuda train=2769 size=128 kind=cached
[seg] epoch 1/40 loss 0.1543
[seg] epoch 2/40 loss 0.0455
[seg] epoch 3/40 loss 0.0360
[seg] epoch 4/40 loss 0.0310
[seg] epoch 5/40 loss 0.0279
[seg] epoch 6/40 loss 0.0251
[seg] epoch 7/40 loss 0.0238
[seg] epoch 8/40 loss 0.0219
[seg] epoch 9/40 loss 0.0216
[seg] epoch 10/40 loss 0.0208
[seg] epoch 11/40 loss 0.0203
[seg] epoch 12/40 loss 0.0187
[seg] epoch 13/40 loss 0.0178
[seg] epoch 14/40 loss 0.0172
[seg] epoch 15/40 loss 0.0168
[seg] epoch 16/40 loss 0.0164
[seg] epoch 17/40 loss 0.0160
[seg] epoch 18/40 loss 0.0155
[seg] epoch 19/40 loss 0.0153
[seg] epoch 20/40 loss 0.0153
[seg] epoch 21/40 loss 0.0147
[seg] epoch 22/40 loss 0.0144
[seg] epoch 23/40 loss 0.0141
[seg] epoch 24/40 loss 0.0140
[seg] epoch 25/40 loss 0.0137
[seg] epoch 26/40 loss 0.0137
[seg] epoch 27/40 loss 0.0133
[seg] epoch 28/40 loss 0.0133
[seg] epoch 29/40 loss 0.0131
[seg] epoch 30/40 loss 0.0130
[seg] epoch 31/40 loss 0.0126
[seg] epoch 32/40 loss 0.0127
[seg] epoch 33/40 loss 0.0136
[seg] epoch 34/40 loss 0.0123
[seg] epoch 35/40 loss 0.0120
[seg] epoch 36/40 loss 0.0121
[seg] epoch 37/40 loss 0.0118
